date,equity
2021-01-01,1000000.0
2021-01-04,1017936.5
2021-01-05,1019948.2000000001
2021-01-06,1023708.6
2021-01-07,1046803.3
2021-01-08,1059476.85
2021-01-11,1057171.6500000001
2021-01-12,1068538.9500000002
2021-01-13,1083475.2000000002
2021-01-14,1093175.7000000002
2021-01-15,1074634.35
2021-01-18,1061331.8
2021-01-19,1096772.7
2021-01-20,1115704.85
2021-01-21,1098745.3
2021-01-22,1071906.1540601905
2021-01-25,1044620.2144841657
2021-01-27,1040461.8572786655
2021-01-28,1033988.4072786656
2021-01-29,1019523.6637758624
2021-02-01,1035310.7296683056
2021-02-02,1065408.2996683056
2021-02-03,1081860.3596683056
2021-02-04,1096046.0296683055
2021-02-05,1096642.1996683055
2021-02-08,1133701.6596683057
2021-02-09,1130407.9796683055
2021-02-10,1145443.1796683054
2021-02-11,1158853.6796683054
2021-02-12,1142982.5296683055
2021-02-15,1149120.7796683055
2021-02-16,1146687.7796683055
2021-02-17,1157085.3296683056
2021-02-18,1158324.1796683057
2021-02-19,1153680.5296683055
2021-02-22,1126440.8796683056
2021-02-23,1135126.8296683056
2021-02-24,1169419.9796683055
2021-02-25,1199623.3296683056
2021-02-26,1182404.0296683055
2021-03-01,1196828.9796683055
2021-03-02,1212981.3796683056
2021-03-03,1243289.0796683056
2021-03-04,1257218.0296683055
2021-03-05,1248020.0296683055
2021-03-08,1271289.7096683057
2021-03-09,1267270.3096683058
2021-03-10,1278494.9496683055
2021-03-12,1296675.3596683056
2021-03-15,1303518.2996683056
2021-03-16,1275882.109358066
2021-03-17,1239617.609358066
2021-03-18,1223445.6931903912
2021-03-19,1220729.0697922527
2021-03-22,1229467.6697922528
2021-03-23,1244693.8625830791
2021-03-24,1219710.7225830792
2021-03-25,1191192.0125830793
2021-03-26,1207323.4625830792
2021-03-30,1230852.062583079
2021-03-31,1224415.3725830792
2021-04-01,1256776.982583079
2021-04-05,1267276.322583079
2021-04-06,1299086.012583079
2021-04-07,1312153.792583079
2021-04-08,1325268.3425830791
2021-04-09,1319369.052583079
2021-04-12,1245016.763805917
2021-04-13,1256307.9329565337
2021-04-15,1261912.073011061
2021-04-16,1276521.213011061
2021-04-19,1263267.503011061
2021-04-20,1272200.0230110611
2021-04-22,1300186.183011061
2021-04-23,1295799.193011061
2021-04-26,1321116.523011061
2021-04-27,1341796.4630110608
2021-04-28,1340766.143011061
2021-04-29,1392774.333011061
2021-04-30,1394020.633011061
2021-05-03,1435061.303011061
2021-05-04,1428034.653011061
2021-05-05,1446865.473011061
2021-05-06,1484321.4930110609
2021-05-07,1551491.673011061
2021-05-10,1586065.303011061
2021-05-11,1569572.2430110609
2021-05-12,1535637.7130110608
2021-05-14,1470961.88157506
2021-05-17,1520906.27157506
2021-05-18,1545888.19157506
2021-05-19,1532636.7515750602
2021-05-20,1510547.17157506
2021-05-21,1519922.9279052487
2021-05-24,1526540.4489966454
2021-05-25,1508292.378996645
2021-05-26,1478695.9689966454
2021-05-27,1498330.7189966452
2021-05-28,1494220.318996645
2021-05-31,1511183.4189966451
2021-06-01,1510760.0189966452
